host,soa,ns,status_code,a,aaaa,cdn,cdn-name,mx,txt,caa,has_internal_ips,internal_ips,cname
urgent-update.zip,"curitiba.ns.porkbun.com, dns.cloudflare.com","salvador.ns.porkbun.com, fortaleza.ns.porkbun.com, maceio.ns.porkbun.com, curitiba.ns.porkbun.com",NOERROR,"44.227.65.245, 44.227.76.166, 162.159.11.180, 173.245.58.37, 162.159.10.150, 162.159.8.140","2400:cb00:2049:1::a29f:bb4, 2400:cb00:2049:1::adf5:3a25, 2400:cb00:2049:1::a29f:a96, 2400:cb00:2049:1::a29f:88c",,,,,,,,
urgente.zip,"carrera.ns.cloudflare.com, dns.cloudflare.com","terry.ns.cloudflare.com, carrera.ns.cloudflare.com",NOERROR,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,,,,
url.zip,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com",NOERROR,76.76.21.21,,,,,,,,,
urlaubsbilder.zip,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b2.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b3.googledomains.com",NOERROR,,,,,,,,,,
urlz.zip,"ns1.gandi.net, hostmaster.gandi.net","ns-40-b.gandi.net, ns-122-a.gandi.net, ns-11-c.gandi.net",NOERROR,217.70.184.38,,,,"fb.mail.gandi.net, spool.mail.gandi.net",v=spf1 include:_mailcust.gandi.net ?all,,,,
userfiles.zip,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com",NOERROR,,,,,,,,,,
username.zip,"mona.ns.cloudflare.com, dns.cloudflare.com","ned.ns.cloudflare.com, mona.ns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
usernames.zip,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e3.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com",NOERROR,"216.239.38.21, 216.239.34.21, 216.239.36.21, 216.239.32.21","2001:4860:4802:36::15, 2001:4860:4802:34::15, 2001:4860:4802:32::15, 2001:4860:4802:38::15",,,,,,,,
usui.zip,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b2.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b3.googledomains.com",NOERROR,,,,,,,,,,
usw.zip,"ns65.domaincontrol.com, dns.jomax.net","ns65.domaincontrol.com, ns66.domaincontrol.com",NOERROR,34.102.136.180,,True,google,,,,,,
utils.zip,"dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns2.registrar-servers.com, dns1.registrar-servers.com",NOERROR,,,,,"eforward2.registrar-servers.com, eforward3.registrar-servers.com, eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,,,,
utkast.zip,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d1.googledomains.com",NOERROR,,,,,,,,,,
uwosh.zip,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d3.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d2.googledomains.com",NOERROR,,,,,,,,,,
v-01.zip,"aragorn.ns.cloudflare.com, dns.cloudflare.com","aragorn.ns.cloudflare.com, carol.ns.cloudflare.com",NOERROR,,"2606:4700:3034::ac43:d57e, 2606:4700:3037::6815:3dc7",True,cloudflare,,,,,,
v-1.zip,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com",NOERROR,,,,,,,,,,
v001.zip,"verify-contact-details.namecheap.com, support.namecheap.com","failed-whois-verification.namecheap.com, verify-contact-details.namecheap.com",NOERROR,198.54.117.242,,,,,,,,,
v08.zip,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,"216.239.34.21, 216.239.38.21, 216.239.36.21, 216.239.32.21",,,,,,,,,
v09.zip,"marge.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,,
v13.zip,"ns1.messagingengine.com, postmaster.messagingengine.com","ns2.messagingengine.com, ns1.messagingengine.com",NOERROR,"103.168.172.52, 103.168.172.37",,,,"in1-smtp.messagingengine.com, in2-smtp.messagingengine.com",v=spf1 include:spf.messagingengine.com ?all,,,,
